Year,Mes,Residuo,Peso
2017,Abril,PEAD,0
2017,Mayo,PEAD,0
2017,Junio,PEAD,0
2017,Julio,PEAD,0
2017,Agosto,PEAD,0
2017,Septiembre,PEAD,0
2017,Octubre,PEAD,0
2017,Noviembre,PEAD,0
2017,Diciembre,PEAD,0
2018,Enero,PEAD,
2018,Febrero,PEAD,25.8
2018,Marzo,PEAD,133
2018,Abril,PEAD,139.6
2018,Mayo,PEAD,64.8
2018,Junio,PEAD,52
2018,Julio,PEAD,34.8
2018,Agosto,PEAD,8.6
2018,Septiembre,PEAD,
2018,Octubre,PEAD,
2018,Noviembre,PEAD,
2018,Diciembre,PEAD,
2019,Enero,PEAD,
2019,Febrero,PEAD,
2019,Marzo,PEAD,
2019,Abril,PEAD,
2019,Mayo,PEAD,19
2019,Junio,PEAD,171
2019,Julio,PEAD,197
2019,Agosto,PEAD,32
2019,Septiembre,PEAD,149
2019,Octubre,PEAD,7
2019,Noviembre,PEAD,93.5
2019,Diciembre,PEAD,101
2020,Enero,PEAD,48.5
2020,Febrero,PEAD,53.5
2020,Marzo,PEAD,
2020,Abril,PEAD,
2020,Mayo,PEAD,
2020,Junio,PEAD,90
2020,Julio,PEAD,19
2020,Agosto,PEAD,13
2020,Septiembre,PEAD,9
2020,Octubre,PEAD,35
2020,Noviembre,PEAD,20
2020,Diciembre,PEAD,
2017,Enero,Playo,0
2017,Febrero,Playo,0
2017,Marzo,Playo,0
2017,Abril,Playo,0
2017,Mayo,Playo,0
2017,Junio,Playo,0
2017,Julio,Playo,0
2017,Agosto,Playo,8
2017,Septiembre,Playo,4
2017,Octubre,Playo,31.5
2017,Noviembre,Playo,10
2017,Diciembre,Playo,11
2018,Enero,Playo,
2018,Febrero,Playo,0
2018,Marzo,Playo,0
2018,Abril,Playo,0
2018,Mayo,Playo,0
2018,Junio,Playo,0
2018,Julio,Playo,0
2018,Agosto,Playo,0
2018,Septiembre,Playo,
2018,Octubre,Playo,
2018,Noviembre,Playo,
2018,Diciembre,Playo,
2019,Enero,Playo,
2019,Febrero,Playo,
2019,Marzo,Playo,
2019,Abril,Playo,
2019,Mayo,Playo,0
2019,Junio,Playo,0
2019,Julio,Playo,8
2019,Agosto,Playo,30
2019,Septiembre,Playo,0.2
2019,Octubre,Playo,0.4
2019,Noviembre,Playo,2.1
2019,Diciembre,Playo,9
2020,Enero,Playo,16.5
2020,Febrero,Playo,17
2020,Marzo,Playo,
2020,Abril,Playo,
2020,Mayo,Playo,
2020,Junio,Playo,15
2020,Julio,Playo,5
2020,Agosto,Playo,3
2020,Septiembre,Playo,6
2020,Octubre,Playo,3.5
2020,Noviembre,Playo,10
2020,Diciembre,Playo,
2017,Enero,Cobre,0
2017,Febrero,Cobre,0
2017,Marzo,Cobre,0
2017,Abril,Cobre,0
2017,Mayo,Cobre,0
2017,Junio,Cobre,0
2017,Julio,Cobre,0
2017,Agosto,Cobre,0
2017,Septiembre,Cobre,0
2017,Octubre,Cobre,0
2017,Noviembre,Cobre,0
2017,Diciembre,Cobre,0
2018,Enero,Cobre,
2018,Febrero,Cobre,0
2018,Marzo,Cobre,0
2018,Abril,Cobre,0
2018,Mayo,Cobre,0
2018,Junio,Cobre,2
2018,Julio,Cobre,0
2018,Agosto,Cobre,4.8
2018,Septiembre,Cobre,
2018,Octubre,Cobre,
2018,Noviembre,Cobre,
2018,Diciembre,Cobre,
2019,Enero,Cobre,
2019,Febrero,Cobre,
2019,Marzo,Cobre,
2019,Abril,Cobre,
2019,Mayo,Cobre,0
2019,Junio,Cobre,0
2019,Julio,Cobre,0
2019,Agosto,Cobre,0
2019,Septiembre,Cobre,0
2019,Octubre,Cobre,0
2019,Noviembre,Cobre,0
2019,Diciembre,Cobre,0
2020,Enero,Cobre,0
2020,Febrero,Cobre,0
2020,Marzo,Cobre,
2020,Abril,Cobre,
2020,Mayo,Cobre,
2020,Junio,Cobre,0
2020,Julio,Cobre,0
2020,Agosto,Cobre,0
2020,Septiembre,Cobre,0
2020,Octubre,Cobre,0
2020,Noviembre,Cobre,0
2020,Diciembre,Cobre,
2017,Enero,Fierro,0
2017,Febrero,Fierro,0
2017,Marzo,Fierro,0
2017,Abril,Fierro,0
2017,Mayo,Fierro,0
2017,Junio,Fierro,0
2017,Julio,Fierro,0
2017,Agosto,Fierro,0
2017,Septiembre,Fierro,0
2017,Octubre,Fierro,0
2017,Noviembre,Fierro,0
2017,Diciembre,Fierro,0
2018,Enero,Fierro,
2018,Febrero,Fierro,331.4
2018,Marzo,Fierro,287.9
2018,Abril,Fierro,291.7
2018,Mayo,Fierro,971
2018,Junio,Fierro,915.7
2018,Julio,Fierro,280.6
2018,Agosto,Fierro,1311.19
2018,Septiembre,Fierro,
2018,Octubre,Fierro,
2018,Noviembre,Fierro,
2018,Diciembre,Fierro,
2019,Enero,Fierro,
2019,Febrero,Fierro,
2019,Marzo,Fierro,
2019,Abril,Fierro,
2019,Mayo,Fierro,0
2019,Junio,Fierro,0
2019,Julio,Fierro,0
2019,Agosto,Fierro,0
2019,Septiembre,Fierro,0
2019,Octubre,Fierro,0
2019,Noviembre,Fierro,0
2019,Diciembre,Fierro,0
2020,Enero,Fierro,0
2020,Febrero,Fierro,0
2020,Marzo,Fierro,
2020,Abril,Fierro,
2020,Mayo,Fierro,
2020,Junio,Fierro,0
2020,Julio,Fierro,0
2020,Agosto,Fierro,0
2020,Septiembre,Fierro,0
2020,Octubre,Fierro,0
2020,Noviembre,Fierro,0
2020,Diciembre,Fierro,
2017,Enero,Aluminio,0
2017,Febrero,Aluminio,0
2017,Marzo,Aluminio,0
2017,Abril,Aluminio,0
2017,Mayo,Aluminio,104.9
2017,Junio,Aluminio,185
2017,Julio,Aluminio,8.2
2017,Agosto,Aluminio,2.6
2017,Septiembre,Aluminio,45
2017,Octubre,Aluminio,3040
2017,Noviembre,Aluminio,62
2017,Diciembre,Aluminio,55
2018,Enero,Aluminio,
2018,Febrero,Aluminio,284.3
2018,Marzo,Aluminio,150.2
2018,Abril,Aluminio,54.6
2018,Mayo,Aluminio,148.6
2018,Junio,Aluminio,184.9
2018,Julio,Aluminio,118.7
2018,Agosto,Aluminio,96.6
2018,Septiembre,Aluminio,
2018,Octubre,Aluminio,
2018,Noviembre,Aluminio,
2018,Diciembre,Aluminio,
2019,Enero,Aluminio,
2019,Febrero,Aluminio,
2019,Marzo,Aluminio,
2019,Abril,Aluminio,
2019,Mayo,Aluminio,0
2019,Junio,Aluminio,0
2019,Julio,Aluminio,12.5
2019,Agosto,Aluminio,12.8
2019,Septiembre,Aluminio,9.5
2019,Octubre,Aluminio,15.6
2019,Noviembre,Aluminio,19.1
2019,Diciembre,Aluminio,35.2
2020,Enero,Aluminio,57.5
2020,Febrero,Aluminio,27
2020,Marzo,Aluminio,
2020,Abril,Aluminio,
2020,Mayo,Aluminio,
2020,Junio,Aluminio,21
2020,Julio,Aluminio,96
2020,Agosto,Aluminio,101.4
2020,Septiembre,Aluminio,33.5
2020,Octubre,Aluminio,24
2020,Noviembre,Aluminio,36
2020,Diciembre,Aluminio,
2017,Enero,AceiteVeg,0
2017,Febrero,AceiteVeg,0
2017,Marzo,AceiteVeg,0
2017,Abril,AceiteVeg,24.7
2017,Mayo,AceiteVeg,0
2017,Junio,AceiteVeg,69
2017,Julio,AceiteVeg,0
2017,Agosto,AceiteVeg,0
2017,Septiembre,AceiteVeg,0
2017,Octubre,AceiteVeg,3000
2017,Noviembre,AceiteVeg,6.2
2017,Diciembre,AceiteVeg,5
2018,Enero,AceiteVeg,
2018,Febrero,AceiteVeg,0
2018,Marzo,AceiteVeg,3
2018,Abril,AceiteVeg,0
2018,Mayo,AceiteVeg,0
2018,Junio,AceiteVeg,0
2018,Julio,AceiteVeg,0
2018,Agosto,AceiteVeg,0
2018,Septiembre,AceiteVeg,
2018,Octubre,AceiteVeg,
2018,Noviembre,AceiteVeg,
2018,Diciembre,AceiteVeg,
2019,Enero,AceiteVeg,
2019,Febrero,AceiteVeg,
2019,Marzo,AceiteVeg,
2019,Abril,AceiteVeg,
2019,Mayo,AceiteVeg,181
2019,Junio,AceiteVeg,2
2019,Julio,AceiteVeg,0
2019,Agosto,AceiteVeg,0
2019,Septiembre,AceiteVeg,0
2019,Octubre,AceiteVeg,0
2019,Noviembre,AceiteVeg,0
2019,Diciembre,AceiteVeg,25
2020,Enero,AceiteVeg,0
2020,Febrero,AceiteVeg,65
2020,Marzo,AceiteVeg,
2020,Abril,AceiteVeg,
2020,Mayo,AceiteVeg,
2020,Junio,AceiteVeg,60
2020,Julio,AceiteVeg,20
2020,Agosto,AceiteVeg,44
2020,Septiembre,AceiteVeg,30
2020,Octubre,AceiteVeg,20
2020,Noviembre,AceiteVeg,28
2020,Diciembre,AceiteVeg,
2017,Enero,AceiteMotor,0
2017,Febrero,AceiteMotor,0
2017,Marzo,AceiteMotor,0
2017,Abril,AceiteMotor,0
2017,Mayo,AceiteMotor,0
2017,Junio,AceiteMotor,3.9
2017,Julio,AceiteMotor,0
2017,Agosto,AceiteMotor,0
2017,Septiembre,AceiteMotor,0
2017,Octubre,AceiteMotor,0
2017,Noviembre,AceiteMotor,0
2017,Diciembre,AceiteMotor,48.5
2018,Enero,AceiteMotor,
2018,Febrero,AceiteMotor,0
2018,Marzo,AceiteMotor,6.4
2018,Abril,AceiteMotor,6.4
2018,Mayo,AceiteMotor,0
2018,Junio,AceiteMotor,0
2018,Julio,AceiteMotor,0
2018,Agosto,AceiteMotor,0
2018,Septiembre,AceiteMotor,
2018,Octubre,AceiteMotor,
2018,Noviembre,AceiteMotor,
2018,Diciembre,AceiteMotor,
2019,Enero,AceiteMotor,
2019,Febrero,AceiteMotor,
2019,Marzo,AceiteMotor,
2019,Abril,AceiteMotor,
2019,Mayo,AceiteMotor,0
2019,Junio,AceiteMotor,0
2019,Julio,AceiteMotor,0
2019,Agosto,AceiteMotor,0
2019,Septiembre,AceiteMotor,0
2019,Octubre,AceiteMotor,0
2019,Noviembre,AceiteMotor,0
2019,Diciembre,AceiteMotor,0
2020,Enero,AceiteMotor,0
2020,Febrero,AceiteMotor,0
2020,Marzo,AceiteMotor,
2020,Abril,AceiteMotor,
2020,Mayo,AceiteMotor,
2020,Junio,AceiteMotor,0
2020,Julio,AceiteMotor,0
2020,Agosto,AceiteMotor,0
2020,Septiembre,AceiteMotor,0
2020,Octubre,AceiteMotor,0
2020,Noviembre,AceiteMotor,0
2020,Diciembre,AceiteMotor,
2017,Enero,Baterias,0
2017,Febrero,Baterias,0
2017,Marzo,Baterias,0
2017,Abril,Baterias,114.4
2017,Mayo,Baterias,1.9
2017,Junio,Baterias,0
2017,Julio,Baterias,83.6
2017,Agosto,Baterias,166.4
2017,Septiembre,Baterias,0
2017,Octubre,Baterias,0.6
2017,Noviembre,Baterias,1
2017,Diciembre,Baterias,13.9
2018,Enero,Baterias,
2018,Febrero,Baterias,14.58
2018,Marzo,Baterias,0
2018,Abril,Baterias,0
2018,Mayo,Baterias,25.9
2018,Junio,Baterias,1.2
2018,Julio,Baterias,2.2
2018,Agosto,Baterias,1.8
2018,Septiembre,Baterias,
2018,Octubre,Baterias,
2018,Noviembre,Baterias,
2018,Diciembre,Baterias,
2019,Enero,Baterias,
2019,Febrero,Baterias,
2019,Marzo,Baterias,
2019,Abril,Baterias,
2019,Mayo,Baterias,0
2019,Junio,Baterias,0
2019,Julio,Baterias,0
2019,Agosto,Baterias,2.7
2019,Septiembre,Baterias,0
2019,Octubre,Baterias,0
2019,Noviembre,Baterias,0
2019,Diciembre,Baterias,0
2020,Enero,Baterias,0.5
2020,Febrero,Baterias,0
2020,Marzo,Baterias,
2020,Abril,Baterias,
2020,Mayo,Baterias,
2020,Junio,Baterias,0
2020,Julio,Baterias,0
2020,Agosto,Baterias,0
2020,Septiembre,Baterias,0
2020,Octubre,Baterias,3
2020,Noviembre,Baterias,0
2020,Diciembre,Baterias,
2017,Enero,Cartuchos,0
2017,Febrero,Cartuchos,0
2017,Marzo,Cartuchos,0
2017,Abril,Cartuchos,0
2017,Mayo,Cartuchos,0
2017,Junio,Cartuchos,0
2017,Julio,Cartuchos,0
2017,Agosto,Cartuchos,496
2017,Septiembre,Cartuchos,0
2017,Octubre,Cartuchos,0
2017,Noviembre,Cartuchos,0
2017,Diciembre,Cartuchos,0
2018,Enero,Cartuchos,
2018,Febrero,Cartuchos,0
2018,Marzo,Cartuchos,1
2018,Abril,Cartuchos,0
2018,Mayo,Cartuchos,215
2018,Junio,Cartuchos,0
2018,Julio,Cartuchos,0
2018,Agosto,Cartuchos,0
2018,Septiembre,Cartuchos,
2018,Octubre,Cartuchos,
2018,Noviembre,Cartuchos,
2018,Diciembre,Cartuchos,
2019,Enero,Cartuchos,
2019,Febrero,Cartuchos,
2019,Marzo,Cartuchos,
2019,Abril,Cartuchos,
2019,Mayo,Cartuchos,0
2019,Junio,Cartuchos,0
2019,Julio,Cartuchos,0
2019,Agosto,Cartuchos,
2019,Septiembre,Cartuchos,0
2019,Octubre,Cartuchos,0
2019,Noviembre,Cartuchos,0
2019,Diciembre,Cartuchos,0
2020,Enero,Cartuchos,0
2020,Febrero,Cartuchos,0
2020,Marzo,Cartuchos,
2020,Abril,Cartuchos,
2020,Mayo,Cartuchos,
2020,Junio,Cartuchos,0
2020,Julio,Cartuchos,0
2020,Agosto,Cartuchos,0
2020,Septiembre,Cartuchos,0
2020,Octubre,Cartuchos,0
2020,Noviembre,Cartuchos,0
2020,Diciembre,Cartuchos,
2017,Enero,Electronicos,0
2017,Febrero,Electronicos,0
2017,Marzo,Electronicos,0
2017,Abril,Electronicos,0
2017,Mayo,Electronicos,311.4
2017,Junio,Electronicos,0
2017,Julio,Electronicos,3.5
2017,Agosto,Electronicos,153
2017,Septiembre,Electronicos,0
2017,Octubre,Electronicos,0
2017,Noviembre,Electronicos,0
2017,Diciembre,Electronicos,126.6
2018,Enero,Electronicos,
